NNNNNNNNN         ZZZZZZZZZ         YYYYYYYYYYY         XXXXXXXXXXXXX         Bzsmoothed
183              .0000000              .0000000            87.0000000              .1048524
184              .0000000              .0000000            88.0000000              .1048503
185              .0000000              .0000000            89.0000000              .1048493
186              .0000000              .0000000            90.0000000              .1048490
187              .0000000              .0000000            91.0000000          1.302898e-05
188              .0000000              .0000000            92.0000000          1.298939e-05
189              .0000000              .0000000            93.0000000          1.292190e-05
190              .0000000              .0000000            94.0000000          1.285446e-05
191              .0000000              .0000000            95.0000000          1.273435e-05
192              .0000000            13.0000000           -95.0000000          1.392937e-05
193              .0000000            13.0000000           -94.0000000          1.404044e-05
194              .0000000            13.0000000           -93.0000000          1.409595e-05
195              .0000000            13.0000000           -92.0000000          1.412830e-05
196              .0000000            13.0000000           -91.0000000              .1047507
197              .0000000            13.0000000           -90.0000000              .1047451
198              .0000000            13.0000000           -89.0000000              .1047467
199              .0000000            13.0000000           -88.0000000              .1047515
200              .0000000            13.0000000           -87.0000000              .1047557
201              .0000000            13.0000000           -86.0000000              .1047593
202              .0000000            13.0000000           -85.0000000              .1047634
203              .0000000            13.0000000           -84.0000000              .1047679
204              .0000000            13.0000000           -83.0000000              .1047727
205              .0000000            13.0000000           -82.0000000              .1047779
206              .0000000            13.0000000           -81.0000000              .1047833
207              .0000000            13.0000000           -80.0000000              .1047890
208              .0000000            13.0000000           -79.0000000              .1047947
209              .0000000            13.0000000           -78.0000000              .1048007
210              .0000000            13.0000000           -77.0000000              .1048066
211              .0000000            13.0000000           -76.0000000              .1048125
212              .0000000            13.0000000           -75.0000000              .1048184
213              .0000000            13.0000000           -74.0000000              .1048241
214              .0000000            13.0000000           -73.0000000              .1048297
215              .0000000            13.0000000           -72.0000000              .1048351
216              .0000000            13.0000000           -71.0000000              .1048403
217              .0000000            13.0000000           -70.0000000              .1048454
218              .0000000            13.0000000           -69.0000000              .1048501
219              .0000000            13.0000000           -68.0000000              .1048548
220              .0000000            13.0000000           -67.0000000              .1048590
221              .0000000            13.0000000           -66.0000000              .1048633
222              .0000000            13.0000000           -65.0000000              .1048670
223              .0000000            13.0000000           -64.0000000              .1048707
224              .0000000            13.0000000           -63.0000000              .1048739
225              .0000000            13.0000000           -62.0000000              .1048772
226              .0000000            13.0000000           -61.0000000              .1048800
227              .0000000            13.0000000           -60.0000000              .1048827
228              .0000000            13.0000000           -59.0000000              .1048851
229              .0000000            13.0000000           -58.0000000              .1048873
230              .0000000            13.0000000           -57.0000000              .1048893
231              .0000000            13.0000000           -56.0000000              .1048910
232              .0000000            13.0000000           -55.0000000              .1048926
233              .0000000            13.0000000           -54.0000000              .1048940
234              .0000000            13.0000000           -53.0000000              .1048952
235              .0000000            13.0000000           -52.0000000              .1048962
236              .0000000            13.0000000           -51.0000000              .1048970
237              .0000000            13.0000000           -50.0000000              .1048976
238              .0000000            13.0000000           -49.0000000              .1048981
239              .0000000            13.0000000           -48.0000000              .1048983
240              .0000000            13.0000000           -47.0000000              .1048985
241              .0000000            13.0000000           -46.0000000              .1048983
242              .0000000            13.0000000           -45.0000000              .1048981
243              .0000000            13.0000000           -44.0000000              .1048976
244              .0000000            13.0000000           -43.0000000              .1048970
245              .0000000            13.0000000           -42.0000000              .1048961
246              .0000000            13.0000000           -41.0000000              .1048952
247              .0000000            13.0000000           -40.0000000              .1048940
248              .0000000            13.0000000           -39.0000000              .1048926
249              .0000000            13.0000000           -38.0000000              .1048910
250              .0000000            13.0000000           -37.0000000              .1048892
251              .0000000            13.0000000           -36.0000000              .1048873
252              .0000000            13.0000000           -35.0000000              .1048850
253              .0000000            13.0000000           -34.0000000              .1048827
254              .0000000            13.0000000           -33.0000000              .1048800
255              .0000000            13.0000000           -32.0000000              .1048773
256              .0000000            13.0000000           -31.0000000              .1048740
257              .0000000            13.0000000           -30.0000000              .1048708
258              .0000000            13.0000000           -29.0000000              .1048671
259              .0000000            13.0000000           -28.0000000              .1048634
260              .0000000            13.0000000           -27.0000000              .1048593
261              .0000000            13.0000000           -26.0000000              .1048551
262              .0000000            13.0000000           -25.0000000              .1048505
263              .0000000            13.0000000           -24.0000000              .1048458
264              .0000000            13.0000000           -23.0000000              .1048408
265              .0000000            13.0000000           -22.0000000              .1048357
266              .0000000            13.0000000           -21.0000000              .1048303
267              .0000000            13.0000000           -20.0000000              .1048248
268              .0000000            13.0000000           -19.0000000              .1048192
269              .0000000            13.0000000           -18.0000000              .1048134
270              .0000000            13.0000000           -17.0000000              .1048077
271              .0000000            13.0000000           -16.0000000              .1048018
272              .0000000            13.0000000           -15.0000000              .1047960
273              .0000000            13.0000000           -14.0000000              .1047904
274              .0000000            13.0000000           -13.0000000              .1047848
275              .0000000            13.0000000           -12.0000000              .1047795
276              .0000000            13.0000000           -11.0000000              .1047743
277              .0000000            13.0000000           -10.0000000              .1047697
278              .0000000            13.0000000            -9.0000000              .1047654
279              .0000000            13.0000000            -8.0000000              .1047617
280              .0000000            13.0000000            -7.0000000              .1047586
281              .0000000            13.0000000            -6.0000000              .1047563
282              .0000000            13.0000000            -5.0000000              .1047554
283              .0000000            13.0000000            -4.0000000              .1047556
284              .0000000            13.0000000            -3.0000000              .1047583
285              .0000000            13.0000000            -2.0000000          1.995522e-05
286              .0000000            13.0000000            -1.0000000          1.995866e-05
287              .0000000            13.0000000              .0000000          1.995973e-05
288              .0000000            13.0000000             1.0000000          1.995699e-05
289              .0000000            13.0000000             2.0000000              .1047522
290              .0000000            13.0000000             3.0000000              .1047522
291              .0000000            13.0000000             4.0000000              .1047523
292              .0000000            13.0000000             5.0000000              .1047551
293              .0000000            13.0000000             6.0000000              .1047584
294              .0000000            13.0000000             7.0000000              .1047621
295              .0000000            13.0000000             8.0000000              .1047660
296              .0000000            13.0000000             9.0000000              .1047704
297              .0000000            13.0000000            10.0000000              .1047752
298              .0000000            13.0000000            11.0000000              .1047803
299              .0000000            13.0000000            12.0000000              .1047857
300              .0000000            13.0000000            13.0000000              .1047913
301              .0000000            13.0000000            14.0000000              .1047971
302              .0000000            13.0000000            15.0000000              .1048029
303              .0000000            13.0000000            16.0000000              .1048088
304              .0000000            13.0000000            17.0000000              .1048147
305              .0000000            13.0000000            18.0000000              .1048205
306              .0000000            13.0000000            19.0000000              .1048262
307              .0000000            13.0000000            20.0000000              .1048317
308              .0000000            13.0000000            21.0000000              .1048371
309              .0000000            13.0000000            22.0000000              .1048423
310              .0000000            13.0000000            23.0000000              .1048472
311              .0000000            13.0000000            24.0000000              .1048520
312              .0000000            13.0000000            25.0000000              .1048565
313              .0000000            13.0000000            26.0000000              .1048609
314              .0000000            13.0000000            27.0000000              .1048649
315              .0000000            13.0000000            28.0000000              .1048688
316              .0000000            13.0000000            29.0000000              .1048722
317              .0000000            13.0000000            30.0000000              .1048757
318              .0000000            13.0000000            31.0000000              .1048787
319              .0000000            13.0000000            32.0000000              .1048816
320              .0000000            13.0000000            33.0000000              .1048842
321              .0000000            13.0000000            34.0000000              .1048866
322              .0000000            13.0000000            35.0000000              .1048887
323              .0000000            13.0000000            36.0000000              .1048907
324              .0000000            13.0000000            37.0000000              .1048925
325              .0000000            13.0000000            38.0000000              .1048940
326              .0000000            13.0000000            39.0000000              .1048954
327              .0000000            13.0000000            40.0000000              .1048965
328              .0000000            13.0000000            41.0000000              .1048975
329              .0000000            13.0000000            42.0000000              .1048983
330              .0000000            13.0000000            43.0000000              .1048989
331              .0000000            13.0000000            44.0000000              .1048993
332              .0000000            13.0000000            45.0000000              .1048996
333              .0000000            13.0000000            46.0000000              .1048996
334              .0000000            13.0000000            47.0000000              .1048996
335              .0000000            13.0000000            48.0000000              .1048992
336              .0000000            13.0000000            49.0000000              .1048989
337              .0000000            13.0000000            50.0000000              .1048981
338              .0000000            13.0000000            51.0000000              .1048974
339              .0000000            13.0000000            52.0000000              .1048963
340              .0000000            13.0000000            53.0000000              .1048951
341              .0000000            13.0000000            54.0000000              .1048937
342              .0000000            13.0000000            55.0000000              .1048922
343              .0000000            13.0000000            56.0000000              .1048903
344              .0000000            13.0000000            57.0000000              .1048883
345              .0000000            13.0000000            58.0000000              .1048861
346              .0000000            13.0000000            59.0000000              .1048837
347              .0000000            13.0000000            60.0000000              .1048811
348              .0000000            13.0000000            61.0000000              .1048782
349              .0000000            13.0000000            62.0000000              .1048752
350              .0000000            13.0000000            63.0000000              .1048717
351              .0000000            13.0000000            64.0000000              .1048683
352              .0000000            13.0000000            65.0000000              .1048643
353              .0000000            13.0000000            66.0000000              .1048604
354              .0000000            13.0000000            67.0000000              .1048560
355              .0000000            13.0000000            68.0000000              .1048516
356              .0000000            13.0000000            69.0000000              .1048468
357              .0000000            13.0000000            70.0000000              .1048419
358              .0000000            13.0000000            71.0000000              .1048367
359              .0000000            13.0000000            72.0000000              .1048314
360              .0000000            13.0000000            73.0000000              .1048259
361              .0000000            13.0000000            74.0000000              .1048203
362              .0000000            13.0000000            75.0000000              .1048146
